steps,apple_score,score,size,path_finder,poly_features,all_data,nb_parameter
159,11,941,10,greedy,False,True,50
125,9,775,10,greedy,False,True,50
161,11,939,10,greedy,False,True,50
113,8,687,10,greedy,False,True,50
197,10,803,10,greedy,False,True,50
93,8,707,10,greedy,False,True,50
143,8,657,10,greedy,False,True,50
173,13,1127,10,greedy,False,True,50
69,6,531,10,greedy,False,True,50
121,11,979,10,greedy,False,True,50
103,7,597,10,greedy,False,True,50
243,19,1657,10,greedy,False,True,50
203,13,1097,10,greedy,False,True,50
377,20,1623,10,greedy,False,True,50
139,7,561,10,greedy,False,True,50
107,7,593,10,greedy,False,True,50
79,4,321,10,greedy,False,True,50
85,7,615,10,greedy,False,True,50
89,7,611,10,greedy,False,True,50
119,10,881,10,greedy,False,True,50
55,6,545,10,greedy,False,True,50
239,12,961,10,greedy,False,True,50
53,5,447,10,greedy,False,True,50
103,6,497,10,greedy,False,True,50
133,9,767,10,greedy,False,True,50
87,8,713,10,greedy,False,True,50
137,8,663,10,greedy,False,True,50
83,5,417,10,greedy,False,True,50
193,12,1007,10,greedy,False,True,50
325,17,1375,10,greedy,False,True,50
51,5,449,10,greedy,False,True,50
131,9,769,10,greedy,False,True,50
147,9,753,10,greedy,False,True,50
127,10,873,10,greedy,False,True,50
211,12,989,10,greedy,False,True,50
107,9,793,10,greedy,False,True,50
119,10,881,10,greedy,False,True,50
201,12,999,10,greedy,False,True,50
63,5,437,10,greedy,False,True,50
141,9,759,10,greedy,False,True,50
113,10,887,10,greedy,False,True,50
211,14,1189,10,greedy,False,True,50
111,6,489,10,greedy,False,True,50
203,14,1197,10,greedy,False,True,50
175,13,1125,10,greedy,False,True,50
101,9,799,10,greedy,False,True,50
137,10,863,10,greedy,False,True,50
213,14,1187,10,greedy,False,True,50
213,14,1187,10,greedy,False,True,50
103,10,897,10,greedy,False,True,50
